,feature,model_type,accuracy_score,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,training_time
0,dog,logistic,0.4798669467787115,0.47860582126343987,0.47121043477645425,0.4684754355228988,0.4798669467787115,0.4798669467787115,0.4798669467787115,2.3135614171624184
1,doh,logistic,0.4723389355742297,0.46148295860524396,0.46633963357111496,0.45684636568666104,0.4723389355742297,0.4723389355742297,0.4723389355742297,3.6986048333346844
2,canny,logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.028376958332956
3,complex,logistic,0.9964985994397759,0.996284700480083,0.9962883365624842,0.9962856159296746,0.9964985994397759,0.9964985994397759,0.9964985994397759,22.834721042774618
4,dog_doh,logistic,0.5442927170868347,0.5428588250216566,0.5380034141883937,0.5375815290282181,0.5442927170868347,0.5442927170868347,0.5442927170868347,4.928656166419387
5,doh_complex,logistic,0.9964985994397759,0.9963023119336267,0.9962883365624842,0.9962942005645536,0.9964985994397759,0.9964985994397759,0.9964985994397759,33.30123916640878
6,dog_complex,logistic,0.9964985994397759,0.996320551844741,0.9963060016806821,0.9963121526434304,0.9964985994397759,0.9964985994397759,0.9964985994397759,24.274980834685266
7,dog_doh_complex,logistic,0.9964985994397759,0.996320551844741,0.9963060016806821,0.9963121526434304,0.9964985994397759,0.9964985994397759,0.9964985994397759,37.69329016562551
8,dog,svm,0.4541316526610644,0.46850091833836544,0.44258588606915783,0.43600775502912986,0.4541316526610644,0.4541316526610644,0.4541316526610644,115.9924465417862
9,doh,svm,0.4632352941176471,0.46608143986549894,0.4550812031020662,0.4070763812795445,0.4632352941176471,0.4632352941176471,0.4632352941176471,113.92851912416518
10,canny,svm,0.9984243697478992,0.9983464504069344,0.9983545529753688,0.9983500171035637,0.9984243697478992,0.9984243697478992,0.9984243697478992,1281.187795041129
11,complex,svm,0.9809173669467787,0.9802097187003258,0.979926554221338,0.9800278816969179,0.9809173669467787,0.9809173669467787,0.9809173669467787,761.7967957919464
12,dog_doh,svm,0.5211834733893558,0.5188140105998639,0.51528049250987,0.5097088921824899,0.5211834733893558,0.5211834733893558,0.5211834733893558,176.46636345796287
13,doh_complex,svm,0.9814425770308123,0.9807705857205309,0.9804567070280226,0.9805678425359936,0.9814425770308123,0.9814425770308123,0.9814425770308123,759.1079861670732
14,dog_complex,svm,0.9819677871148459,0.9812829551918307,0.9810344916383786,0.9811121356605237,0.9819677871148459,0.9819677871148459,0.9819677871148459,762.2973918328062
15,dog_doh_complex,svm,0.9830182072829131,0.98236963211156,0.9821472417859598,0.9822186371840782,0.9830182072829131,0.9830182072829131,0.9830182072829131,812.4847268331796
16,dog,rf,0.5588235294117647,0.6106337941749159,0.5493569817331002,0.5480035029884498,0.5588235294117647,0.5588235294117647,0.5588235294117647,27.01712275017053
17,doh,rf,0.6032913165266106,0.5987796451193483,0.5881567311365947,0.5705485718002378,0.6032913165266106,0.6032913165266106,0.6032913165266106,32.18242295831442
18,canny,rf,0.7640056022408963,0.7729510477227659,0.755656339290669,0.7449107087724752,0.7640056022408963,0.7640056022408963,0.7640056022408963,250.93304499983788
19,complex,rf,0.8196778711484594,0.8222014572607924,0.8111078642811367,0.8070885632158584,0.8196778711484594,0.8196778711484594,0.8196778711484594,204.87772891670465
20,dog_doh,rf,0.6734943977591037,0.7072204880484472,0.6607381356422352,0.6563380805622175,0.6734943977591037,0.6734943977591037,0.6734943977591037,42.19973591621965
21,doh_complex,rf,0.8258053221288515,0.8297710774435412,0.8179258924814334,0.8155830838791848,0.8258053221288515,0.8258053221288515,0.8258053221288515,203.9717093743384
22,dog_complex,rf,0.8335084033613446,0.8363195255679378,0.8259780837983839,0.8249225331899316,0.8335084033613446,0.8335084033613446,0.8335084033613446,200.12855120841414
23,dog_doh_complex,rf,0.8282563025210085,0.8309028575015671,0.8201985085164964,0.8190497283717662,0.8282563025210085,0.8282563025210085,0.8282563025210085,205.7836782503873
24,dog,lda,0.4956232492997199,0.4902665791695914,0.4868205884877458,0.48203393453984933,0.4956232492997199,0.4956232492997199,0.4956232492997199,0.1115531250834465
25,doh,lda,0.49229691876750703,0.4919542369564084,0.48603247729609833,0.48589341855989554,0.49229691876750703,0.49229691876750703,0.49229691876750703,0.07678249944001436
26,canny,lda,0.9294467787114846,0.9288609873126683,0.9263056443002124,0.9270995369776021,0.9294467787114846,0.9294467787114846,0.9294467787114846,6.180255374871194
27,complex,lda,0.9686624649859944,0.9682867953904877,0.9670032531049557,0.9673950380613201,0.9686624649859944,0.9686624649859944,0.9686624649859944,4.295800665393472
28,dog_doh,lda,0.5744047619047619,0.5722239485938106,0.5672500783565742,0.5657051381194895,0.5744047619047619,0.5744047619047619,0.5744047619047619,0.12513420917093754
29,doh_complex,lda,0.9684873949579832,0.9681215833123714,0.9668342117257673,0.9672361320867275,0.9684873949579832,0.9684873949579832,0.9684873949579832,4.183106957934797
30,dog_complex,lda,0.9705882352941176,0.9701542717858761,0.9690366833518103,0.9693782338270126,0.9705882352941176,0.9705882352941176,0.9705882352941176,4.140831457450986
31,dog_doh_complex,lda,0.9698879551820728,0.9695017394223341,0.9682847692215346,0.9686583993399867,0.9698879551820728,0.9698879551820728,0.9698879551820728,3.8937967075034976
32,dog,qda,0.32160364145658266,0.3295126521144446,0.31850816401742704,0.30598575610240364,0.32160364145658266,0.32160364145658266,0.32160364145658266,0.09450633358210325
33,doh,qda,0.4262955182072829,0.41338022848506306,0.4198620472152822,0.38366504240189275,0.4262955182072829,0.4262955182072829,0.4262955182072829,0.08764979243278503
34,canny,qda,0.9322478991596639,0.9321030044208016,0.9286458393708794,0.9296954416033507,0.9322478991596639,0.9322478991596639,0.9322478991596639,25.60271504241973
35,complex,qda,0.8848039215686274,0.8888507874001503,0.880157432564877,0.8807826632909008,0.8848039215686274,0.8848039215686274,0.8848039215686274,18.157697083428502
36,dog_doh,qda,0.4424019607843137,0.44930070771864605,0.43877907708079156,0.4358225886314762,0.4424019607843137,0.4424019607843137,0.4424019607843137,0.24144729226827621
37,doh_complex,qda,0.8911064425770309,0.892280052703796,0.8863431118433749,0.8868108485458717,0.8911064425770309,0.8911064425770309,0.8911064425770309,18.07181808259338
38,dog_complex,qda,0.8886554621848739,0.8922888610218304,0.8841373445185499,0.8847306068014961,0.8886554621848739,0.8886554621848739,0.8886554621848739,17.912641416303813
39,dog_doh_complex,qda,0.8930322128851541,0.8938463435133872,0.8883315863927527,0.8887353359357466,0.8930322128851541,0.8930322128851541,0.8930322128851541,18.418223875574768
